username,author_id,video_desc,video_id,upload_time,duration,was_duet,hashtags,music_artist,music_title,is_verified,author_followers,author_likes,author_hearts,author_video_count,saves,likes,shares,plays,comments
NRG,6622351164002828294,there was a hole in the road 💀 #react #illusion #gaming #valorant,7178325621238631726,1671334427,39,{'duetFromId': '0'},"['react', 'illusion', 'gaming', 'valorant']",NRG,original sound - NRG,True,3300000,505,83200000,1184,593200,7400000,95000,52200000,25900
Eva 🦋,6669507295225888773,let’s try this again🥲 #viper #vipercosplay #valorant FAKE PROP,7067556652878171398,1645543765,7,{'duetFromId': '0'},"['viper', 'vipercosplay', 'valorant']",𝚈𝚊𝚜𝚜𝚎𝚛 || بن سويلم 📸,Panda Transition,True,3500000,126400,136000000,1146,160300,4900000,39000,29700000,24000
Steve,6922340093764355078,People always talk about how Gamer girls stay muted in games. It's the other way around. #Valorant #egirl #discord #gamergirl #valorantclip#foryou,6976423244316298502,1624325118,40,{'duetFromId': '0'},"['valorant', 'egirl', 'discord', 'gamergirl', 'valorantclip', 'foryou']",Steve,original sound,False,262100,699,5100000,22,200100,4200000,59300,23400000,60800
lindy 🐇,6806052106169762821,"ty @doppey_ for holding me accountable, ty @syl00n for being my having the best laugh ever- this is the best clip #valorant #galorant #valorantclips",6986450128961834245,1626659685,40,{'duetFromId': '0'},"['', '', 'valorant', 'galorant', 'valorantclips']",DJ Facemask,Kimi No Toriko Best Loop,False,137700,5176,3800000,20,269800,3600000,65900,13700000,14800
Twitch | dagam3z,6825053579990483973,#fyp #foryou #gaming #setupgaming #fortnite #rocketleague #callofduty #valorant #viral,7037631210146843950,1638577403,15,{'duetFromId': '0'},"['fyp', 'foryou', 'gaming', 'setupgaming', 'fortnite', 'rocketleague', 'callofduty', 'valorant', 'viral']",Twitch | dagam3z,original sound,False,392900,69200,10800000,435,80200,3200000,35900,27400000,19800
jiyu,7096680648916239366,Queens Gamjett #valorant #valorantclips #valorantfunny #funnymoments #fyp #foryou ,7186796895283465478,1673306550,15,{'duetFromId': '0'},"['valorant', 'valorantclips', 'valorantfunny', 'funnymoments', 'fyp', 'foryou']",The King Khan & BBQ Show,Love You So,False,530500,820,31700000,500,428700,3100000,77200,22000000,13200
ViiZzzm,6841172803603219462,#twitch: ViiZzzm #mondongo #humillacion #troll #ban #twitchclips #chattroll #twitchespaña #humor #viral #comunidad #valorant #enfado #foryou #parati,7156959503026539781,1666359495,56,{'duetFromId': '0'},"['twitch', 'mondongo', 'humillacion', 'troll', 'ban', 'twitchclips', 'chattroll', 'twitchespaña', 'humor', 'viral', 'comunidad', 'valorant', 'enfado', 'foryou', 'parati']",ViiZzzm,sonido original,False,975500,5322,39400000,934,275900,3000000,33100,17100000,5573
Sisca Kohl,6554544028540108802,Killjoy mengikuti trend #fyp #valorant @valorantid,7091550255220542746,1651130213,8,{'duetFromId': '0'},"['', 'fyp', 'valorant']",DRIVER MUDA,Party Coy ,True,18700000,8544,483100000,599,35700,2900000,11500,35400000,24400
joecean,6976310587279492102,#kyedae #tenz #valorant #couple #gamer #game #gaming #fps #sentinels #100thieves #DoritosDareToBeBurned #cute #rice #asian #japanese #vietnamese #food #cook #chef #cuisine #restaurant #boyfriend #girlfriend #boy #girl #twitch #live #fyp #foryou #foryoupage #foryourpage ,7133395167934991659,1660872990,23,{'duetFromId': '0'},"['kyedae', 'tenz', 'valorant', 'couple', 'gamer', 'game', 'gaming', 'fps', 'sentinels', '100thieves', 'doritosdaretobeburned', 'cute', 'rice', 'asian', 'japanese', 'vietnamese', 'food', 'cook', 'chef', 'cuisine', 'restaurant', 'boyfriend', 'girlfriend', 'boy', 'girl', 'twitch', 'live', 'fyp', 'foryou', 'foryoupage', 'foryourpage']",joecean,original sound,False,47800,1897,9100000,233,164300,2900000,12600,19400000,7097
OscarEksde,7125841508335174662,Silly kittens dancing #valorant #kitten #setup #gamingseup #oscareksde ,7260353536989367579,1690432823,13,{'duetFromId': '0'},"['valorant', 'kitten', 'setup', 'gamingseup', 'oscareksde']",Fran,original sound,False,50800,4257,3300000,18,360100,2600000,89900,10500000,31900
Sisca Kohl,6554544028540108802,Immortal ni bos senggol dong @valorantid #valorant #fyp,7076730385589177626,1647679691,37,{'duetFromId': '0'},"['', 'valorant', 'fyp']",VTORNIK,Money Rain - Phonk Remix,True,18700000,8544,483100000,599,33800,2600000,15800,26000000,32200
Lilspoonie,6961954745711952901,Longer version #valorant #toxicmasculinity  #gamergirl #fyp #valorantfunny #funny,7037198130848337158,1638475371,30,{'duetFromId': '0'},"['valorant', 'toxicmasculinity', 'gamergirl', 'fyp', 'valorantfunny', 'funny']",Lilspoonie,Weetabix,False,204900,25900,3500000,77,156500,2600000,59300,14200000,23000
Viq Galiano,6643797798422806529,Acaso hago los mejores regalos? #parati #fyp #gaming #setupgaming #valorant #parejasgoals #logitech #compragamer #gamercouple #gamingsetup #couplesetup ,7190907235147582726,1674263569,95,{'duetFromId': '0'},"['parati', 'fyp', 'gaming', 'setupgaming', 'valorant', 'parejasgoals', 'logitech', 'compragamer', 'gamercouple', 'gamingsetup', 'couplesetup']",C. Tangana,Demasiadas Mujeres,False,155900,17400,3000000,122,201200,2500000,40600,17700000,40500
Kyedae,6912265858970665989,Oh... #gaming #gamingontiktok #funnymoments #valorant #twitch #youtube,7004035679327931654,1630754137,13,{'duetFromId': '0'},"['gaming', 'gamingontiktok', 'funnymoments', 'valorant', 'twitch', 'youtube']",Kyedae,original sound,True,2200000,61100,85100000,516,74500,2400000,6610,16600000,3534
TKay 😈,6922188598183887874,i thought this looked nice #valorant #edit #valorantclips #valorantedit #gaming,7052695639599090946,1642083666,22,{'duetFromId': '0'},"['valorant', 'edit', 'valorantclips', 'valorantedit', 'gaming']",TKay 😈,original sound,False,61300,42300,3300000,12,105900,2300000,41200,18900000,12800
Alexandria,6615631698536120325,Meow! #valorant #funnyvalorantclips #fyp #twitch #streamer #twitchstreamer #riotgames #riot #funnygamingclips #funnyvalorantclips ,7138051866428017926,1661957215,70,{'duetFromId': '0'},"['valorant', 'funnyvalorantclips', 'fyp', 'twitch', 'streamer', 'twitchstreamer', 'riotgames', 'riot', 'funnygamingclips', 'funnyvalorantclips']",Alexandria,original sound,False,708400,20300,11200000,237,353600,2200000,40000,11500000,18400
willius,6904997481626960902,All sages are the same 😔 #valorant #pocketsage #valorantaccent,7080617702548639019,1648584778,41,{'duetFromId': '0'},"['valorant', 'pocketsage', 'valorantaccent']",willius,original sound,False,689600,1413,21800000,155,78500,2200000,91400,13100000,24200
willius,6904997481626960902,Police actually be throwing smh #valorantaccent #sinatraa #valorant,7083226471472319790,1649192179,48,{'duetFromId': '0'},"['valorantaccent', 'sinatraa', 'valorant']",willius,original sound,False,689600,1413,21800000,155,77100,2100000,63400,12800000,18000
Payko,6793321421004375046,she thought #foryou #valorant #val #valorantclip #valorantph,7054882615790275886,1642592865,38,{'duetFromId': '0'},"['foryou', 'valorant', 'val', 'valorantclip', 'valorantph']",Payko,original sound,False,171100,5278,12500000,243,70800,2100000,18100,13600000,14500
Pottekes,7058298060719621126,singing for strangers to overcome my stage fright part 3 #fyp #foryou #singing #guitar #valorant #valorantclips #voicechat,7103878526734044422,1654000615,115,{'duetFromId': '0'},"['fyp', 'foryou', 'singing', 'guitar', 'valorant', 'valorantclips', 'voicechat']",Pottekes,original sound,False,462800,542,7600000,173,239500,2100000,12700,11600000,15400
erenshiro,7011324310188393477,I called it out 🫡 #valorant #valorantgaming #valorantclips #fyp #fypシ #foryou #gaming,7115033189525048582,1656597761,37,{'duetFromId': '0'},"['valorant', 'valorantgaming', 'valorantclips', 'fyp', 'fypシ', 'foryou', 'gaming']",erenshiro,original sound,False,452300,2974,19900000,162,166600,2100000,15000,12300000,5542
GeraldLongbottom,6961823351032857606,I cant stop laughing #csgo #valorant #twitch #xqc #twitchclips ,7132382946761166122,1660637325,30,{'duetFromId': '0'},"['csgo', 'valorant', 'twitch', 'xqc', 'twitchclips']",GeraldLongbottom,original sound,False,36400,678,5900000,160,209300,2000000,28100,12200000,5225
