username,author_id,video_desc,video_id,upload_time,duration,was_duet,hashtags,music_artist,music_title,is_verified,author_followers,author_likes,author_hearts,author_video_count,saves,likes,shares,plays,comments
MagicalAquatic,7140140605107127342,Another use for 360 cam #ocean #sea #vlog #travel #scuba #snorkling #scubadiving #fypシ #tiktoktravel,7143031687490882858,1663116673,20,{'duetFromId': '0'},"['ocean', 'sea', 'vlog', 'travel', 'scuba', 'snorkling', 'scubadiving', 'fypシ', 'tiktoktravel']",Hollow Coves,Coastline,False,276100,434,4800000,607,32900,706200,3355,10300000,1949
jah✰,6961499315445482501,imma still try to keep em daily… #LikeAMonarch #SephoraConcealers #dayinmylife #college #collegelife #collegeathlete #trackandfield #triplejump #track #basketball #football #verticaljump #boxjump #vlog #minivlog #dayinthelife #athlete #d1athlete #oklahoma #university ,7144924903270108462,1663557479,37,{'duetFromId': '0'},"['likeamonarch', 'sephoraconcealers', 'dayinmylife', 'college', 'collegelife', 'collegeathlete', 'trackandfield', 'triplejump', 'track', 'basketball', 'football', 'verticaljump', 'boxjump', 'vlog', 'minivlog', 'dayinthelife', 'athlete', 'd1athlete', 'oklahoma', 'university']",jah✰,original sound,False,385500,30400,11900000,226,113900,2200000,9272,10200000,8096
Caroline Collins,6776019851430560774,From 2:45 AM to 4:59 AM ☕️ This is my Monday through Friday mornings as a news anchor! #news #vlog ,7138820984827612459,1662136289,78,{'duetFromId': '0'},"['news', 'vlog']",Caroline Collins,original sound,False,1600000,27900,54600000,871,13700,663200,758,7700000,2215
🦞Craw Kingdom👑,6835639642319193094,😩 IM HAPPY NOW!!!! #chicharron #Mexican #somexican #Food #Pork #Crunch #Eating #Crawking #Lmao #Vlog,7139230020718906666,1662231523,57,{'duetFromId': '0'},"['chicharron', 'mexican', 'somexican', 'food', 'pork', 'crunch', 'eating', 'crawking', 'lmao', 'vlog']",🦞Craw Kingdom👑,RIP PEPPA PIG,False,3400000,13100,80700000,1813,13700,319500,3335,3800000,2720
Cassie Aran,6747490126719206405,HURRICANE IS GETTING WORSE😳 #daywithme #vlog #dailyvlog #dayinthelife #dayinmylife #dailyvlogs #hurricane #hurricaneian #hurricanecheck #scared #hurricaneprep #vlogs #scared ,7147887060324584747,1664247151,63,{'duetFromId': '0'},"['daywithme', 'vlog', 'dailyvlog', 'dayinthelife', 'dayinmylife', 'dailyvlogs', 'hurricane', 'hurricaneian', 'hurricanecheck', 'scared', 'hurricaneprep', 'vlogs', 'scared']",Petit Biscuit,Night Trouble,False,806900,2448,25200000,2801,27900,974200,2955,13500000,14800
Da’ana Williamson,6890383256324260870,Okay. I’m going to bed now 😴💤 #ditl #dayinthelife #vlog #williamsonfam #oaklynnandtruth #bash #twinmom,7138599910957649198,1662084815,123,{'duetFromId': '0'},"['ditl', 'dayinthelife', 'vlog', 'williamsonfam', 'oaklynnandtruth', 'bash', 'twinmom']",Da’ana Williamson,original sound,False,1900000,14300,230200000,1002,14600,625600,670,2800000,725
Joannah Castro,6814737223280690182,It was my Monday yesterday. Migraine nearly took me out. #minivlog #vlog #couple #ChewTheVibes #bartender #work ,7143674503518801198,1663266358,78,{'duetFromId': '0'},"['minivlog', 'vlog', 'couple', 'chewthevibes', 'bartender', 'work']",Tollan Kim,Chill Vibes,False,630200,76700,9300000,525,5523,273300,113,2400000,618
Natasha Mathurent,6914393038229357574,let the dorm room preparation begin! #natashascloset #shopping #dormroom #decor #walmart #fashiontiktok #fashiontok #foodshopping #adulting #vlog #dailyvlog #movingout #moveoutprocess #moveoutwithme ,7139198035225218350,1662224077,134,{'duetFromId': '0'},"['natashascloset', 'shopping', 'dormroom', 'decor', 'walmart', 'fashiontiktok', 'fashiontok', 'foodshopping', 'adulting', 'vlog', 'dailyvlog', 'movingout', 'moveoutprocess', 'moveoutwithme']",Natasha Mathurent,original sound,False,368000,13600,21700000,1934,11700,366700,138,2000000,732
ED & AJ,6979330843295122438,43 Chipotle Cheesesteak #fyp #jerseymikes #sandwich #grill #foodtok #vlog #foodie ,7147410414685605166,1664136179,58,{'duetFromId': '0'},"['fyp', 'jerseymikes', 'sandwich', 'grill', 'foodtok', 'vlog', 'foodie']",ED & AJ,original sound,False,215300,2593,5900000,415,38600,1100000,4393,22800000,3191
Henry Wu,6654028578713796614,Replying to @uros540 Here’s how much it cost me to attend Burning Man - its a weeklong experience 😎 #burningman #whatispend #whatispendinaweek #vlog #burningman2022 #expenses #behindthescenes,7143612904267549998,1663252005,40,{'duetFromId': '0'},"['', 'burningman', 'whatispend', 'whatispendinaweek', 'vlog', 'burningman2022', 'expenses', 'behindthescenes']",Kx5 & deadmau5 & Kaskade,Escape,False,34200,9320,1600000,188,14100,285300,2058,3800000,2034
